"determinand_id","determinand_desc","definition","unit_of_measure","unit_of_measure_desc"
8973,"Water D&S","Water Content, (Dean and Stark)","%","PERCENTAGE"
4092,"Sulphur","Sulphur","% w/w","Percent Wt/Wt"
4093,"Carbon Res","Carbon Residue","% w/w","Percent Wt/Wt"
4095,"SAN","Strong Acid Number : IP139","mg koh/g","Strong Acid Number of Oils"
4096,"SulphatedAsh","Sulphated Ash : IP550","% w/w","Percent Wt/Wt"
4097,"Halogens Cl","Halogens as Cl : IP503","mg/kg","MILLIGRAM PER KILOGRAM"
4004,"PCBs Total","PCBs, Total : IP462","mg/kg","MILLIGRAM PER KILOGRAM"
5258,"Te Leach","Tellurium, Leachable","ug/l","MICROGRAM PER LITRE"
4419,"Co Leach","Cobalt, Leachable","ug/l","MICROGRAM PER LITRE"
5972,"Tl Leach1:10","Thallium, Leachable","ug/l","MICROGRAM PER LITRE"
4412,"Sn Leach","Tin, Leachable","ug/l","MICROGRAM PER LITRE"
5254,"Ti Leach","Titanium, Leachable","ug/l","MICROGRAM PER LITRE"
5256,"U Leach","Uranium, Leachable","ug/l","MICROGRAM PER LITRE"
4094,"Tot Sediment","Total Sediment : IP375","% w/w","Percent Wt/Wt"
4454,"C>10-24 Ali","Equiv.Carbon No >10-24, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4445,"C>10-44 Ali","Equiv.Carbon No >10-44, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4436,"C>24-40 Ali","Equiv.Carbon No >24-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4427,"C>35-40 Aro","Equiv.Carbon No >35-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4455,"C>10-20 Aro","Equiv.Carbon No >10-20, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4446,"C>10-40 Aro","Equiv.Carbon No >10-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4437,"C>20-44 Aro","Equiv.Carbon No >20-44, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4428,"C>35-40 Ali","Equiv.Carbon No >35-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4456,"C>10-20 Ali","Equiv.Carbon No >10-20, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4447,"C>10-40 Ali","Equiv.Carbon No >10-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4438,"C>20-44 Ali","Equiv.Carbon No >20-44, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4429,"C>30-40 Aro","Equiv.Carbon No >30-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4439,"C>20-40 Aro","Equiv.Carbon No >20-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4449,"C>10-35 Aro","Equiv.Carbon No >10-35, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4430,"C>30-40 Ali","Equiv.Carbon No >30-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4440,"C>20-40 Ali","Equiv.Carbon No >20-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4431,"C>25-40 Aro","Equiv.Carbon No >25-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4450,"C>10-35 Ali","Equiv.Carbon No >10-35, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4441,"C>20-30 Aro","Equiv.Carbon No >20-30, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4432,"C>25-40 Ali","Equiv.Carbon No >25-40, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4451,"C>10-25 Aro","Equiv.Carbon No >10-25, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4442,"C>20-30 Ali","Equiv.Carbon No >20-30, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4433,"C>24-44 Aro","Equiv.Carbon No >24-44, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4434,"C>24-44 Ali","Equiv.Carbon No >24-44, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4453,"C>10-24-Aro","Equiv.Carbon No >10-24, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4444,"C>10-44 Aro","Equiv.Carbon No >10-44, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4435,"C>24-40 Aro","Equiv.Carbon No >24-40, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
4127,"PO4 tot dis","Phosphate : Total dissolved as P","mg/l","MILLIGRAM PER LITRE"
4323,"Mecoprop DW","Mecoprop : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9858,"Fish Length","Length of fish","mm","MILLIMETRE"
2958,"PFOS (T)","Perfluorooctanesulfonic acid (total)","ug/l","MICROGRAM PER LITRE"
2939,"ButyleneTot","Butylene glycol: Total (1,3 and 1,4)","mg/l","MILLIGRAM PER LITRE"
3768,"Mn non aq","Manganese : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3769,"Pb non aq","Lead : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
4142,"C>7-8 Ali","Equiv.Carbon No >7-8, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4143,"C>6-7 Aro","Equiv.Carbon No >6-7, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
3756,"Co non aq","Cobolt : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
4144,"C>6-7 Ali","Equiv.Carbon No >6-7, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4145,"C>5-10 Ali","Equiv.Carbon No >5-10, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
4146,"C>5-10 Aro","Equiv.Carbon No >5-10, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
5691,"C>8-10 Alip","Equiv.Carbon No >8-10, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
5693,"C>5-6 Alip","Equiv.Carbon No >5-6, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
3770,"Cu non aq","Copper : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3771,"Cd non aq","Cadmium : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3772,"Sb non aq","Antimony: in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
5684,"C>8-10 Arom","Equiv.Carbon No >8-10, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
5685,"C>7-8 Arom","Equiv.Carbon No >7-8, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
3761,"Cr non aq","Chromium : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3762,"As non aq","Arsenic : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3763,"Zn non aq","Zinc: in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3764,"V non aq","Vanadium: in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3765,"Tl non aq","Thallium: in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3766,"Ni  non aq","Nickel : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
3767,"Hg non aq","Mercury : in non aqueous liquid","mg/kg","MILLIGRAM PER KILOGRAM"
109,"Cols 7Dy@22C","Colony count : 7 Days at 22C : Aerobic","no/ml","NUMBER PER MILLILITRE"
932,"Cols 3Dy@22C","Colony count : 3 Days at 22C : Aerobic","no/ml","NUMBER PER MILLILITRE"
933,"Cols 1Dy@37C","Colony count : 1 Day at 37C : Aerobic","no/ml","NUMBER PER MILLILITRE"
7445,"PC3/37","Colony count : 3 Days at 37C : Aerobic","no/ml","NUMBER PER MILLILITRE"
4337,"Cols 5Dy@22C","Colony count : 5 Days at 22C : Aerobic","no/ml","NUMBER PER MILLILITRE"
934,"Cols 2Dy@37C","Colony count : 2 Days at 37C : Aerobic","no/ml","NUMBER PER MILLILITRE"
2934,"Max<good FPF","Consecutive days without good Flow Passed Forward data: Annual max","no.","NUMBER"
2928,"FPF %>= 92%","FPF % of readings >= 92% of limit when overflowing: Annual","%","PERCENTAGE"
2927,"No of OvOps","Number of overflow operations: Annual","no.","NUMBER"
2931,"OvOpduration","Duration of overflow operation: Annual","h (dec)","Hours (Decimal)"
2933,"Max<goodOvOp","Consecutive days without good overflow operation data: Annual max","no.","NUMBER"
2929,"FPF median","Flow Passed Forward readings when overflow is operating: Annual median","l/s","LITRE PER SECOND"
2930,"FPF mean","Flow Passed Forward readings when overflow is operating: Annual mean","l/s","LITRE PER SECOND"
2932,"Both <good","Days without both good FPF and good overflow operation data: Annual","no.","NUMBER"
4848,"4-FTOL DW","4-2 Fluorotelomer olefin : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
7852,"Fe DW <63","Iron, < 63 um : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
9906,"VolatileMtr%","Volatile Matter : %","%","PERCENTAGE"
3278,"B-[b]-fluora","Benzo(b)Fluoranthene","ng/l","NANOGRAM PER LITRE"
7844,"Hg  DW <63","Mercury, < 63 um : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
7845,"Cd  DW <63","Cadmium, < 63 um : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6549,"2Acetylthiop","2-Acetylthiophene","ug/l","MICROGRAM PER LITRE"
8522,"TetClEthene","Tetrachloroethylene :- {Perchloroethylene}","ug/m3","Micrograms per cubic metre"
7064,"Sld Sus-OptT","Solids, Suspended, (Optical Turbidity)","mg/l","MILLIGRAM PER LITRE"
1002,"COPA","COPA","unitless","UNITLESS VALUE"
3023,"PhenolicOdor","Odour : Phenolic","coded","Coded Result"
947,"Chlorophylls","Chlorophyll a + b","ug/l","MICROGRAM PER LITRE"
4120,"Azoxystrobin","Azoxystrobin","ng/l","NANOGRAM PER LITRE"
3960,"Ethirimol","Ethirimol","ng/l","NANOGRAM PER LITRE"
3921,"TriazinsCalc","Triazines : Total (Atrazine,Simazine,Propazine,Prometryne)","ng/l","NANOGRAM PER LITRE"
5930,"Salinity by","Salinity, by Bench Salinometer","unitless","UNITLESS VALUE"
6943,"RainfallCode","Weather : Rainfall : Coded","coded","Coded Result"
6665,"Paraquat","Paraquat","ug/l","MICROGRAM PER LITRE"
3000,"Diquat","Diquat","ug/l","MICROGRAM PER LITRE"
8291,"Solid Matter","Solid Matter","pres/nf","PRESENT/NOT FOUND"
3963,"Sulcotrione","Sulcotrione","ng/l","NANOGRAM PER LITRE"
3954,"Fomesafen","Fomesafen","ng/l","NANOGRAM PER LITRE"
8178,"Cymoxanil","Cymoxanil","ug/l","MICROGRAM PER LITRE"
3904,"ChlorophyllB","Chlorophyll b","ug/l","MICROGRAM PER LITRE"
950,"PhaeophytnAB","Phaeophytin A and B","ug/l","MICROGRAM PER LITRE"
1102,"PentClPhWW","Pentachlorophenol : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3209,"1,2,4-TCB","1,2,4-Trichlorobenzene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3898,"HCHEpsilnWWT","HCH -epsilon : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
614,"ExtLipidWWt","Lipids, Extractable : Wet Wt","%","PERCENTAGE"
3210,"1,3,5TCB W","1,3,5-Trichlorobenzene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9806,"ClpyrifosEWW","Chlorpyrifos-ethyl : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3905,"Phaeophytn-A","Phaeophytin A","ug/l","MICROGRAM PER LITRE"
1504,"ChlrphnvpWWt","Chlorfenvinphos : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3906,"Phaeophytn-B","Phaeophytin B","ug/l","MICROGRAM PER LITRE"
4024,"TRI CLET P","Tris-Chloroethyl phosphate","ug/l","MICROGRAM PER LITRE"
4025,"TRI CLPR P","Tris-Chloropropyl phosphate","ug/l","MICROGRAM PER LITRE"
3554,"TriallateWWt","Tri-allate : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1100,"DDE (OP')WWt","DDE -op : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3732,"CTHION WET","Carbophenothion : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3733,"Ethion WWt","Ethion : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1724,"Diazinon WWt","Diazinon : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3734,"ParthnEylWWt","Parathion-ethyl : Wet Wt :- {Parathion}","ug/kg","MICROGRAM PER KILOGRAM"
3238,"ParathonMWWt","Parathion-methyl : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3735,"ProptmphsWWt","Propetamphos : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3364,"FenitrthnDWt","Fenitrothion : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3736,"PropazineWWt","Propazine : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1122,"CarbonTetWWt","Carbon tetrachloride : Wet Wt :- {Tetrachloromethane}","ug/kg","MICROGRAM PER KILOGRAM"
1106,"EndslphnAWWt","Endosulfan A : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3243,"Atrazine WWt","Atrazine : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3225,"AzinphosMeWW","Azinphos-methyl : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1536,"MalathionWWt","Malathion : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3368,"ChlorofrmWWt","Chloroform : Wet Wt :- {Trichloromethane}","ug/kg","MICROGRAM PER KILOGRAM"
3741,"PCB 31 WWt","PCB - 031 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1574,"TDE (OP')WWt","TDE -op : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3245,"Simazine WWt","Simazine : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3208,"1,2,3-TCB","1,2,3-Trichlorobenzene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3227,"AznphsEylWWt","Azinphos-ethyl : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3913,"Bromine in-s","Bromine : In Situ","mg/l","MILLIGRAM PER LITRE"
9098,"Tri-n-Butyl","Tri-n-butyl phosphate","ug/l","MICROGRAM PER LITRE"
8306,"ChlorophyllA","Chlorophyll a : HPLC","ug/l","MICROGRAM PER LITRE"
6928,"Rhodium","Rhodium","ug/l","MICROGRAM PER LITRE"
7786,"DO YSI 3800","Oxygen, Dissolved : Grant YSI 3800 : In Situ","mg/l","MILLIGRAM PER LITRE"
3918,"PAHs (Calc)","PAH : Total (WHO 6) :- {Polynuclear Aromatic Hydrocarbons}","ng/l","NANOGRAM PER LITRE"
3569,"DataHandling","Data Handling","unitless","UNITLESS VALUE"
6897,"Bathers/Km","Bathers per kilometre","no/km","Number per kilometer"
6936,"MarinAlgWtrE","Marine algae, Waters edge","coded","Coded Result"
6937,"MarinAlgOffs","Marine algae, Offshore","coded","Coded Result"
6919,"UnsightlyMat","Unsightly matter","coded","Coded Result"
6873,"ColourChange","Colour change","coded","Coded Result"
6935,"MarinAlgStrd","Marine algae, Strandline","coded","Coded Result"
3700,"Transpcy Vis","Transparency, visual, Non Secchi","coded","Coded Result"
6874,"Oil PRES/NF","Oil","pres/nf","PRESENT/NOT FOUND"
6944,"SunshineCode","Weather : Sunshine : Coded","coded","Coded Result"
2347,"E.coli C-MF","Escherichia coli : Confirmed : MF","no/ml","NUMBER PER MILLILITRE"
421,"Iron - as Fe","Iron","mg/l","MILLIGRAM PER LITRE"
2548,"StrepF PMF","Streptococci : Faecal : Presumptive : MF","no/ml","NUMBER PER MILLILITRE"
5444,"Flumeth WW","Flumethrin : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3230,"CyfluthrnWWt","Cyfluthrin : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3240,"PermethrnWWt","Permethrin : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7754,"EULAN","Eulan","ug/l","MICROGRAM PER LITRE"
972,"P - Dry Wt","Phosphorus : Dry Wt as P","%","PERCENTAGE"
4020,"GSF800015999","Grain Size Fraction : 8000 to 15999 microns","%","PERCENTAGE"
4021,"GSF >16000","Grain Size Faction : > 16000 microns","%","PERCENTAGE"
4018,"GSF1000-3999","Grain Size Fraction : 1000 to 3999 microns","%","PERCENTAGE"
9263,"CondFldYSI38","Conductivity : Grant YSI 3800 : In Situ","us/cm","MICROSIEMENS PER CENTIMETRE"
9261,"pH (Insitu)","pH : Grant YSI 3800 : In Situ","phunits","PH UNITS"
187,"S2O3 Filterd","Thiosulphate, Dissolved as S2O3","mg/l","MILLIGRAM PER LITRE"
754,"Aclor 1260D","Aroclor 1260 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3553,"TriallateDWt","Tri-allate : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
8080,"COD Lch DW","Chemical Oxygen Demand, Leachable : Dry Wt :- {COD}","mg/kg","MILLIGRAM PER KILOGRAM"
8530,"ISOPRALCO%","2-Propanol :- {iso-Propanol}","%","PERCENTAGE"
8400,"NaphthC1sWW","Naphthalenes : C1 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
8927,"DibzthC1 WW","Dibenzothiophenes : C1 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
8401,"NaphthC2sWW","Naphthalenes : C2 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
8928,"DibzthC2 WW","Dibenzothiophenes : C2 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
8929,"PhenthC2sWW","Phenanthrenes : C2 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
8404,"PhenthC1sWW","Phenanthrenes : C1 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3809,"PCB 128 WWt","PCB - 128 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3810,"PCB 170 WWt","PCB - 170 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7141,"Al Wet Wt","Aluminium : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7853,"Ag DW < 63","Silver, < 63 um : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
9487,"NaphthC3 DW","Alkyl Naphthalenes : C3 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9492,"FluoreC2 DW","Alkyl Fluorenes : C2 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9488,"NaphthC4 DW","Alkyl Naphthalenes : C4 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9493,"FluoreC3 DW","Alkyl Fluorenes : C3 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9531,"ChryseC3 DW","Alkyl Chrysenes/Benzo(a)Anthracenes : C3 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9518,"PhenthC4 DW","Alkyl Phenanthrenes/Anthracenes : C4 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9524,"DibzthC3 DW","Alkyl Dibenzothiophenes : C3 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9491,"FluoreC1 DW","Alkyl Fluorenes : C1 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9547,"ChryseC4 DW","Alkyl Chrysenes/Benzo(a)Anthracenes : C4 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9180,"Benzene","Benzene : Load","t/qtr","Tonnes per quarter (3 months)"
9178,"13-Butadiene","1,3-Butadiene : Load","kg/qtr","Kilograms per quarter (3 months)"
9179,"Lead","Lead : Load","kg/qtr","Kilograms per quarter (3 months)"
7129,"Methanal WWt","Formaldehyde : Wet Wt :- {Methanal}","mg/kg","MILLIGRAM PER KILOGRAM"
2328,"Tot Coli PMF","Coliforms, Total : Presumptive : MF","no/ml","NUMBER PER MILLILITRE"
3932,"L Cyhalothrn","Lambda-cyhalothrin","ng/l","NANOGRAM PER LITRE"
3028,"Salinty Cond","Salinity, by Conductivity","g/kg","GRAM PER KILOGRAM"
9062,"Chlormequat","Chlormequat chloride","ug/l","MICROGRAM PER LITRE"
2329,"Tot Coli PMF","Coliforms, Total : Presumptive : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
8298,"Fae Coli PFM","Coliforms, Faecal : Presumptive : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
8549,"RES105","Residual mass : after drying at 105 C","%","PERCENTAGE"
8297,"Fae Coli CFM","Coliforms, Faecal : Confirmed : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
8500,"Cl(QA)","Chloride : Qualitative","pres/nf","PRESENT/NOT FOUND"
8501,"NO3(QA)","Nitrate : Qualitative","pres/nf","PRESENT/NOT FOUND"
8502,"NO2(QA)","Nitrite : Qualitative","pres/nf","PRESENT/NOT FOUND"
8503,"SO4(QA)","Sulphate : Qualitative","pres/nf","PRESENT/NOT FOUND"
8504,"PO4(QA)","Phosphate : Qualitative","pres/nf","PRESENT/NOT FOUND"
9089,"cpH1.5 H2SO4","Acidity to pH 1.5 as H2SO4","mg/l","MILLIGRAM PER LITRE"
5692,"C>6-8 Alip","Equiv.Carbon No >6-8, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
3720,"C5-44Alip","Equiv.Carbon No >C5- C44, Aliphatic Fraction","mg/l","MILLIGRAM PER LITRE"
5686,"C>5-7 Arom","Equiv.Carbon No >5-7, Aromatic Fraction","mg/l","MILLIGRAM PER LITRE"
8427,"EC0157","Escherichia coli, O157 : MPN","no/l","NUMBER PER LITRE"
3459,"ColfmF C-MF","Coliforms, Faecal : Confirmed : MF","no/ml","NUMBER PER MILLILITRE"
3460,"ColfmF PMF","Coliforms, Faecal : Presumptive : MF","no/ml","NUMBER PER MILLILITRE"
2330,"Colfm C-MF","Coliforms, Total : Confirmed : MF","no/ml","NUMBER PER MILLILITRE"
6954,"EDTA","EDTA","ug/l","MICROGRAM PER LITRE"
5882,"t-DodecThiol","tert-Dodecanethiol","ug/l","MICROGRAM PER LITRE"
3838,"Enterovirus","Enterovirus","no/l","NUMBER PER LITRE"
8335,"F+Coliphage","Phage : F+ Coliphage","pfu/l","PLAQUE FORMING UNITS PER L"
8507,"OH(QA)","Hydroxide : Qualitative","pres/nf","PRESENT/NOT FOUND"
8471,"Alk12 NAOH","Alkalinity to pH 12 as NaOH","mg/l","MILLIGRAM PER LITRE"
8505,"CO3(QA)","Carbonate : Qualitative","pres/nf","PRESENT/NOT FOUND"
8551,"PCBTOT(ARO D","PCB : Total as Aroclor : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5885,"BacCF128","Bacteroides CF128 primer","coded","Coded Result"
9604,"F+IV phage","Phage : F+ Type IV Bacteriophage","pfu/0.1l","PLAQUE FORMING UNITS PER 100ML"
9603,"F+II/IIIphag","Phage : F+ Type II/III Bacteriophage","pfu/0.1l","PLAQUE FORMING UNITS PER 100ML"
5890,"Norfluoxetin","Norfluoxetine","ug/l","MICROGRAM PER LITRE"
5513,"HC FTIR Lch","Hydrocarbons (FTIR), Leachable","mg/l","MILLIGRAM PER LITRE"
8545,"PCBTOT(ARO W","PCB : Total as Aroclor : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3914,"Br Free in-s","Bromine Free : In Situ","mg/l","MILLIGRAM PER LITRE"
5091,"River Flow","River flow status","coded","Coded Result"
9575,"P Extr DWt","Phosphorus, Extractable : Dry Wt as P","mg/kg","MILLIGRAM PER KILOGRAM"
5654,"c12ClEtheneL","cis-1,2-Dichloroethylene, Leachable","ug/l","MICROGRAM PER LITRE"
5617,"sButBenzeneL","sec-Butylbenzene, Leachable :- {1-Methylpropylbenzene}","ug/l","MICROGRAM PER LITRE"
5650,"CHCl3 Leach","Trichloromethane, Leachable :- {Chloroform}","ug/l","MICROGRAM PER LITRE"
5627,"12BrEthane L","1,2-Dibromoethane, Leachable","ug/l","MICROGRAM PER LITRE"
5655,"11ClEthane L","1,1-Dichloroethane, Leachable","ug/l","MICROGRAM PER LITRE"
5618,"135MeBenz L","1,3,5-Trimethylbenzene, Leachable","ug/l","MICROGRAM PER LITRE"
5651,"BrClMeth Lch","Bromochloromethane, Leachable","ug/l","MICROGRAM PER LITRE"
5628,"diBrClMeth L","Dibromochloromethane, Leachable","ug/l","MICROGRAM PER LITRE"
5656,"t12ClEtheneL","trans-1,2-Dichloroethylene, Leachable","ug/l","MICROGRAM PER LITRE"
5619,"tButBenzeneL","tert-Butylbenzene, Leachable :- {(1,1-Dimethylethyl)benzene}","ug/l","MICROGRAM PER LITRE"
5652,"22ClPropaneL","2,2-Dichloropropane, Leachable","ug/l","MICROGRAM PER LITRE"
5629,"13ClPropaneL","1,3-Dichloropropane, Leachable","ug/l","MICROGRAM PER LITRE"
5615,"13ClBenz Lch","1,3-Dichlorobenzene, Leachable","ug/l","MICROGRAM PER LITRE"
5657,"DCM Lch","Dichloromethane, Leachable :- {Methylene Chloride}","ug/l","MICROGRAM PER LITRE"
5653,"11ClEthene L","1,1-Dichloroethylene, Leachable","ug/l","MICROGRAM PER LITRE"
5514,"C>10-40 Lch","Equiv.Carbon No >10-40, Leachable","mg/l","MILLIGRAM PER LITRE"
5515,"C>6-10 Lch","Equiv.Carbon No >6-10, Leachable","mg/l","MILLIGRAM PER LITRE"
5642,"BrDClMeth L","Bromodichloromethane, Leachable","ug/l","MICROGRAM PER LITRE"
5605,"1122ClEthanL","1,1,2,2-Tetrachloroethane, Leachable","ug/l","MICROGRAM PER LITRE"
5643,"DiBrMeth Lch","Dibromomethane, Leachable","ug/l","MICROGRAM PER LITRE"
5606,"TriClFMethaL","Trichlorofluoromethane, Leachable","ug/l","MICROGRAM PER LITRE"
2550,"StrepF C-MF","Streptococci : Faecal : Confirmed : MF","no/ml","NUMBER PER MILLILITRE"
5644,"12ClPropaneL","1,2-Dichloropropane, Leachable","ug/l","MICROGRAM PER LITRE"
5607,"ClMethane L","Chloromethane, Leachable","ug/l","MICROGRAM PER LITRE"
5645,"TrClEthene L","Trichloroethylene, Leachable :- {Trichloroethene}","ug/l","MICROGRAM PER LITRE"
5608,"Vinyl Cl Lch","Vinyl Chloride, Leachable :- {Chloroethylene}","ug/l","MICROGRAM PER LITRE"
5646,"12ClEthane L","1,2-Dichloroethane, Leachable","ug/l","MICROGRAM PER LITRE"
5609,"Benzene Lch","Benzene, Leachable","ug/l","MICROGRAM PER LITRE"
5647,"CCl4 Leach","Carbon tetrachloride, Leachable :- {Tetrachloromethane}","ug/l","MICROGRAM PER LITRE"
5648,"11ClPropeneL","1,1-Dichloropropene, Leachable","ug/l","MICROGRAM PER LITRE"
5649,"1,1,1-TCA L","1,1,1-Trichloroethane, Leachable","ug/l","MICROGRAM PER LITRE"
5630,"TetClEtheneL","Tetrachloroethylene, Leachable","ug/l","MICROGRAM PER LITRE"
5632,"nPropBenz L","n-Propylbenzene, Leachable","ug/l","MICROGRAM PER LITRE"
5633,"Styrene Lch","Styrene, Leachable :- {Vinylbenzene}","ug/l","MICROGRAM PER LITRE"
5634,"12MeBenz Lch","1,2-Dimethylbenzene, Leachable :- {o-Xylene}","ug/l","MICROGRAM PER LITRE"
5635,"13+14MeBenzL","Dimethylbenzene : Sum of isomers (1,3- 1,4-), Leachable","ug/l","MICROGRAM PER LITRE"
5636,"EtBenzeneLch","Ethylbenzene Leachable","ug/l","MICROGRAM PER LITRE"
5265,"TotDiMeBenzL","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) : Leachable :- {Xylene}","mg/l","MILLIGRAM PER LITRE"
